"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SPS"
"90","P","Marc Goossens","8","2:33.400","16:21.362","Yellow","Track","4.994","9.257","19.150","0.464","21.440","29.184","35.099","21.373","12.439","177.189"
"85","P","Misha Goikhberg","8","2:34.129","16:22.474","Yellow","Track","4.944","9.451","19.266","0.459","21.891","29.687","34.071","21.572","12.788","179.120"
"5","P","Christian Fittipaldi","8","2:34.772","16:24.039","Yellow","Track","5.033","9.268","19.067","0.464","22.112","30.121","33.453","21.565","13.689","177.189"
"48","GTD","Madison Snow","7","3:00.741","16:25.042","Yellow","Track","21.285","14.707","20.982","0.511","24.076","31.509","31.937","22.127","13.607","160.892"
"93","GTD","Katherine Legge","7","2:30.303","16:25.813","Yellow","Track","5.568","10.384","20.866","0.512","23.522","30.199","27.653","17.979","13.620","160.578"
"38","PC","James French","8","2:16.992","16:32.219","Yellow","Track","5.294","9.759","20.479","0.660","25.996","32.274","24.412","12.562","5.556","124.570"
"66","GTLM","Dirk Mueller","8","2:26.868","17:04.710","Yellow","Track","5.404","10.785","23.287","0.593","25.242","33.526","25.553","15.339","7.139","138.644"
"25","GTLM","Alexander Sims","8","2:27.476","17:06.218","Yellow","Track","5.396","10.844","24.848","0.655","26.493","34.261","24.888","13.856","6.235","125.520"
"912","GTLM","Gianmaria Bruni","8","2:27.291","17:06.784","Yellow","Track","5.396","10.868","25.396","0.641","26.457","35.202","23.323","13.763","6.245","128.262"
"911","GTLM","Patrick Pilet","8","2:27.822","17:07.793","Yellow","Track","5.384","11.547","28.081","0.810","25.842","33.795","22.272","13.672","6.419","101.501"
"67","GTLM","Ryan Briscoe","8","2:28.531","17:10.811","Yellow","Track","5.537","11.242","26.760","0.845","27.055","33.450","24.285","13.377","5.980","97.297"
"4","GTLM","Oliver Gavin","8","2:24.291","17:13.591","Yellow","Track","6.061","11.877","23.071","0.725","26.438","33.481","23.629","13.671","5.338","113.401"
"24","GTLM","Martin Tomczyk","8","2:24.385","17:14.038","Yellow","Track","6.205","11.705","23.121","0.750","26.500","33.522","23.604","13.734","5.244","109.621"
"3","GTLM","Jan Magnussen","8","2:23.703","17:15.239","Yellow","Track","5.760","11.337","22.593","0.756","26.360","33.578","24.133","13.922","5.264","108.751"
"96","GTD","Jesse Krohn","8","2:14.261","17:26.411","Yellow","Track","6.786","10.998","21.319","0.535","24.011","30.263","22.423","12.806","5.120","153.675"
"26","PC","Mark Kvamme","8","2:21.248","17:34.218","Yellow","Track","7.350","11.107","20.738","0.508","24.232","32.927","24.146","14.356","5.884","161.842"
"20","PC","Don Yount","7","5:10.143","17:40.835","Yellow","Pit","5.351","10.150","20.237","0.496","22.416","27.776","20.455","184.730","18.532","165.758"
"73","GTD","Patrick Lindsey","8","2:27.333","17:42.710","Yellow","Track","7.952","11.951","24.083","0.657","25.714","32.336","24.686","13.692","6.262","125.138"
"16","GTD","Jeroen Mul","8","2:30.863","17:50.635","Yellow","Track","8.482","14.058","27.384","0.847","27.559","31.357","23.024","12.797","5.355","97.067"
"15","GTD","Scott Pruett","8","2:31.935","17:53.288","Yellow","Track","8.704","13.280","26.696","0.810","27.427","32.433","23.449","13.208","5.928","101.501"
"63","GTD","Christina Nielsen","8","2:31.724","17:54.087","Yellow","Track","8.975","13.007","25.986","0.809","28.656","31.609","23.710","12.832","6.140","101.627"
"57","GTD","Andrew Davis","8","2:33.327","17:56.249","Yellow","Track","9.092","12.926","26.557","0.813","28.996","33.346","23.591","12.683","5.323","101.127"
