"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"93","GTD","Andy Lally","35","2:10.186","1:27:06.658","Green","Track","1.471","20.967","24.815","9.476","9.899","0.462","4.711","0.433","23.764","25.509","8.679","145.243","154.971"
"55","P","Tristan Nunez","27","2:25.468","1:27:08.140","Green","Pit","1.339","19.421","22.834","9.253","9.528","0.451","4.641","0.446","23.824","26.815","26.916","148.786","150.454"
"3","GTLM","Antonio Garcia","37","2:06.168","1:27:08.668","Green","Track","1.445","19.959","24.160","9.381","9.701","0.449","4.602","0.416","22.909","24.503","8.644","149.448","161.304"
"38","PC","James French","37","2:27.048","1:27:09.324","Green","Pit","1.384","20.903","24.304","9.607","9.286","0.436","4.494","0.409","23.477","25.267","27.481","153.904","164.064"
"20","PC","Buddy Rice","37","2:04.782","1:27:15.952","Green","Track","1.392","20.154","24.161","9.290","9.326","0.437","4.501","0.405","22.943","24.055","8.118","153.552","165.685"
"70","P","Tom Long","27","2:02.116","1:27:16.558","Green","Track","1.345","19.218","22.755","9.289","9.084","0.420","4.318","0.428","22.994","24.193","8.072","159.767","156.781"
"28","GTD","Daniel Morad","36","2:10.072","1:27:27.565","Green","Track","1.470","20.731","24.946","9.572","9.912","0.459","4.704","0.423","23.495","25.725","8.635","146.192","158.634"
"48","GTD","Bryan Sellers","36","2:10.003","1:27:28.078","Green","Track","1.463","20.719","25.285","9.598","9.832","0.453","4.627","0.413","23.447","25.495","8.671","148.129","162.475"
"33","GTD","Jeroen Bleekemolen","36","2:09.962","1:27:28.505","Green","Track","1.461","20.772","24.984","9.834","9.846","0.453","4.676","0.423","23.478","25.495","8.540","148.129","158.634"
"63","GTD","Alessandro Balzan","36","2:09.958","1:27:31.458","Green","Track","1.460","20.660","25.199","9.705","9.732","0.451","4.621","0.413","23.491","25.600","8.625","148.786","162.475"
"73","GTD","Joerg Bergmeister","36","2:11.406","1:27:32.560","Green","Track","1.464","20.603","25.281","9.817","9.865","0.452","4.632","0.415","23.978","26.253","8.646","148.456","161.692"
