"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"26","PC","Tomy Drissi","13","1:31.825","20:18.013","Green","Track","3.317","12.447","0.552","13.692","10.673","9.429","0.550","13.631","10.408","10.400","2.314","4.412","143.281","147.521"
"5","P","Christian Fittipaldi","14","1:27.680","20:17.993","Green","Track","3.187","11.416","0.514","13.527","10.057","8.911","0.520","13.020","10.148","9.891","2.192","4.297","153.873","156.031"
"93","GTD","Katherine Legge","13","1:32.263","20:18.930","Green","Track","3.381","12.545","0.563","13.619","10.436","9.647","0.561","13.579","10.601","10.530","2.382","4.419","140.481","144.628"
"31","P","Eric Curran","14","1:27.179","20:19.104","Green","Track","3.236","11.459","0.512","13.066","10.480","8.899","0.519","12.751","10.052","9.621","2.195","4.389","154.474","156.332"
"48","GTD","Bryan Sellers","13","1:33.389","20:21.944","Green","Track","3.414","12.712","0.560","14.564","10.661","9.773","0.571","13.460","10.467","10.416","2.393","4.398","141.234","142.095"
"85","P","Misha Goikhberg","14","1:28.410","20:23.886","Green","Track","3.518","12.210","0.513","13.941","10.236","8.920","0.509","13.029","10.022","9.438","2.136","3.938","154.173","159.403"
"55","P","Jonathan Bomarito","14","1:30.258","20:25.989","Green","Track","3.375","11.915","0.518","14.431","10.367","8.949","0.528","13.933","10.285","9.819","2.153","3.985","152.685","153.667"
"28","GTD","Daniel Morad","13","1:35.629","20:27.373","Green","Track","3.680","12.947","0.572","14.430","11.410","10.079","0.578","14.041","10.423","10.670","2.376","4.423","138.271","140.374"
"10","P","Ricky Taylor","14","1:31.184","20:27.373","Green","Track","3.355","11.695","0.510","15.213","10.470","8.974","0.513","13.411","10.642","10.009","2.186","4.206","155.080","158.161"
"70","P","Tom Long","14","1:29.209","20:28.016","Green","Track","3.149","11.362","0.505","13.595","10.602","8.923","0.515","13.352","10.828","10.163","2.204","4.011","156.616","157.546"
"90","P","Renger Van Der Zande","14","1:28.947","20:28.227","Green","Track","3.228","11.413","0.514","13.654","10.200","8.928","0.520","13.356","10.700","10.219","2.191","4.024","153.873","156.031"
"16","GTD","Corey Lewis","13","1:36.330","20:28.774","Green","Track","3.397","12.650","0.570","14.648","11.408","10.489","0.586","13.904","10.710","10.973","2.469","4.526","138.756","138.458"
"2","P","Scott Sharp","14","1:29.356","20:29.436","Green","Track","3.247","12.115","0.514","13.306","10.312","8.824","0.506","13.946","10.539","9.999","2.132","3.916","153.873","160.349"
"14","GTD","Scott Pruett","13","1:35.698","20:30.892","Green","Track","3.419","12.662","0.577","14.820","11.247","9.919","0.562","14.144","10.718","10.907","2.367","4.356","137.073","144.371"
"63","GTD","Christina Nielsen","13","1:35.092","20:31.332","Green","Track","3.783","12.996","0.565","14.885","10.722","9.780","0.564","13.780","10.782","10.488","2.383","4.364","139.984","143.859"
"33","GTD","Ben Keating","13","1:33.847","20:33.177","Green","Track","3.647","12.929","0.566","14.085","10.951","9.754","0.568","13.689","10.448","10.448","2.367","4.395","139.737","142.846"
"50","GTD","Cooper MacNeil","13","1:33.203","20:35.754","Green","Track","3.511","12.638","0.570","14.053","10.685","9.791","0.573","13.695","10.428","10.448","2.388","4.423","138.756","141.599"
"73","GTD","Patrick Lindsey","13","1:32.862","20:36.870","Green","Track","3.415","12.852","0.559","13.902","10.677","9.634","0.561","13.594","10.568","10.357","2.373","4.370","141.486","144.628"
