"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"14","GTD","Sage Karam","148","1:47.431","4:48:46.180","Green","Track","3.287","8.925","12.826","3.953","0.510","13.836","21.981","32.799","5.897","3.417","161.096"
"50","GTD","Shane Van Gisbergen","148","1:47.001","4:48:47.223","Green","Track","3.311","8.807","12.561","3.949","0.506","13.865","21.800","32.835","5.923","3.444","162.370"
"10","P","Ricky Taylor","155","1:37.918","4:48:52.047","Green","Track","3.005","8.054","11.444","3.594","0.459","12.971","20.672","29.261","5.334","3.124","178.996"
"912","GTLM","Gianmaria Bruni","153","1:43.248","4:48:54.752","Green","Track","3.234","8.524","12.256","3.864","0.498","13.380","21.013","31.586","5.566","3.327","164.978"
"67","GTLM","Richard Westbrook","153","1:42.432","4:49:01.565","Green","Track","3.218","8.435","12.339","3.873","0.499","13.111","21.024","31.046","5.547","3.340","164.647"
"75","GTD","Tristan Vautier","146","1:46.149","4:49:06.256","Green","Track","3.340","8.858","12.571","3.960","0.510","13.828","21.822","32.025","5.806","3.429","161.096"
"90","P","Marc Goossens","158","2:33.680","4:49:07.428","Green","Pit","3.025","8.189","11.400","3.579","0.467","12.914","20.065","29.651","9.208","55.182","175.930"
"66","GTLM","Joey Hand","153","1:42.755","4:49:08.021","Green","Track","3.207","8.386","12.222","3.839","0.494","13.299","21.191","31.244","5.559","3.314","166.314"
"85","P","Stephen Simpson","159","1:38.842","4:49:12.057","Green","Track","3.001","8.088","11.724","3.640","0.473","13.114","21.078","29.533","5.144","3.047","173.698"
"911","GTLM","Patrick Pilet","152","1:43.850","4:49:15.040","Green","Track","3.228","8.696","12.306","3.875","0.501","13.329","21.626","31.372","5.580","3.337","163.990"
"23","GTD","Townsend Bell","146","1:47.524","4:49:18.691","Green","Track","3.343","9.027","12.696","3.964","0.509","13.976","21.989","32.757","5.805","3.458","161.413"
"2","P","Luis Felipe Derani","157","1:38.476","4:49:19.579","Green","Track","2.940","8.014","11.249","3.515","0.454","13.469","20.183","30.053","5.489","3.110","180.967"
"15","GTD","Jack Hawksworth","148","1:45.386","4:49:19.862","Green","Track","3.248","8.769","12.499","3.924","0.504","13.528","21.606","32.140","0.000","0.000","163.014"
"28","GTD","Daniel Morad","148","1:48.554","4:49:26.094","Green","Track","3.310","8.921","12.682","3.951","0.510","14.228","22.338","33.181","5.972","3.461","161.096"
"4","GTLM","Tommy Milner","153","1:43.570","4:49:31.032","Green","Track","3.213","8.521","12.295","3.873","0.500","13.318","21.402","31.413","5.679","3.356","164.318"
"73","GTD","Patrick Lindsey","148","1:47.385","4:49:32.721","Green","Track","3.334","8.755","12.670","3.968","0.512","13.949","22.152","32.684","5.887","3.474","160.467"
"3","GTLM","Antonio Garcia","153","1:43.166","4:49:33.300","Green","Track","3.221","8.497","12.326","3.870","0.500","13.354","21.119","31.316","5.622","3.341","164.318"
"26","PC","Gustavo Yacaman","136","1:40.975","4:49:34.251","Green","Track","3.103","8.386","12.161","3.819","0.496","13.037","20.583","30.772","5.411","3.207","165.643"
"52","P","Olivier Pla","159","1:52.323","4:49:37.235","Green","Track","15.269","9.682","12.168","3.700","0.472","13.321","20.074","29.420","5.153","3.064","174.066"
"22","P","Bruno Senna","159","1:34.732","4:49:40.953","Green","Track","2.984","7.901","11.346","3.590","0.465","12.120","19.444","28.723","5.092","3.067","176.686"
"48","GTD","Madison Snow","148","2:54.226","4:49:45.203","Green","Pit","3.272","8.810","16.883","8.427","1.078","22.064","37.413","50.009","9.782","16.488","76.214"
"20","PC","Buddy Rice","152","1:40.805","4:49:54.229","Green","Track","3.112","8.243","11.874","3.781","0.495","13.555","20.657","30.414","5.457","3.217","165.978"
"54","GTD","Colin Braun","147","1:46.991","4:49:58.075","Green","Track","3.316","8.882","12.585","3.930","0.507","14.094","22.163","32.189","5.873","3.452","162.049"
"27","GTD","Paolo Ruberti","148","1:46.276","4:50:07.593","Green","Track","3.278","8.718","12.572","3.924","0.506","13.674","22.008","32.349","5.819","3.428","162.370"
"5","P","Joao Barbosa","160","1:37.266","4:50:09.143","Green","Track","3.034","7.978","11.369","3.584","0.461","12.458","20.359","29.639","5.275","3.109","178.219"
"31","P","Dane Cameron","150","1:37.939","4:50:10.122","Green","Track","3.043","8.206","11.339","3.550","0.457","12.403","20.451","29.474","5.812","3.204","179.779"
"33","GTD","Jeroen Bleekemolen","148","1:46.648","4:50:10.490","Green","Track","3.286","8.783","12.616","3.957","0.511","13.910","21.792","32.180","6.130","3.483","160.781"
"86","GTD","Jeff Segal","149","1:45.769","4:50:12.427","Green","Track","3.285","8.758","12.512","3.934","0.504","13.700","21.754","32.084","5.826","3.412","163.014"
"93","GTD","Andy Lally","149","1:46.020","4:50:13.615","Green","Track","3.269","8.784","12.508","3.912","0.506","13.843","22.044","31.994","5.759","3.401","162.370"
"96","GTD","Jens Klingmann","149","1:45.679","4:50:18.302","Green","Track","3.304","8.790","12.520","3.946","0.508","13.726","21.704","31.984","5.804","3.393","161.730"
"63","GTD","Alessandro Balzan","149","1:45.487","4:50:24.659","Green","Track","3.271","8.696","12.549","3.947","0.509","13.675","21.657","31.965","5.809","3.409","161.413"
"57","GTD","Lawson Aschenbach","149","1:45.666","4:50:25.581","Green","Track","3.296","8.658","12.546","3.928","0.509","13.722","21.639","32.134","5.812","3.422","161.413"
"24","GTLM","John Edwards","154","1:43.692","4:50:25.798","Green","Track","3.195","8.569","12.160","3.865","0.501","13.182","21.049","31.863","5.968","3.340","163.990"
"38","PC","Kyle Masson","155","1:40.880","4:50:25.846","Green","Track","3.102","8.173","11.916","3.792","0.490","12.706","20.431","31.148","5.844","3.278","167.672"
"25","GTLM","Alexander Sims","154","1:42.773","4:50:28.981","Green","Track","3.236","8.670","12.255","3.910","0.514","13.370","20.961","30.913","5.629","3.315","159.843"
"10","P","Ricky Taylor","156","1:37.266","4:50:29.313","Green","Track","2.998","8.045","11.435","3.587","0.464","12.210","20.490","29.492","5.407","3.138","177.067"
"14","GTD","Sage Karam","149","1:46.588","4:50:32.768","Green","Track","0.000","0.000","12.505","3.925","0.510","13.729","21.859","32.473","5.806","3.418","161.096"
"50","GTD","Shane Van Gisbergen","149","1:46.479","4:50:33.702","Green","Track","3.316","8.838","12.591","3.948","0.512","13.784","21.956","32.315","5.814","3.405","160.467"
"912","GTLM","Gianmaria Bruni","154","1:42.249","4:50:37.001","Green","Track","3.226","8.551","12.299","3.870","0.498","13.186","20.880","30.932","5.497","3.310","164.978"
