"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"52","P","Jose Gutierrez","29","1:26.034","40:07.652","Green","Track","1.583","0.455","3.877","25.890","19.457","14.575","9.424","10.773","145.854"
"63","GTD","Christina Nielsen","27","1:30.015","40:08.591","Green","Track","1.734","0.503","4.063","27.639","20.643","15.481","8.886","11.066","131.936"
"66","GTLM","Dirk Mueller","28","1:28.557","40:09.445","Green","Track","1.717","0.495","3.970","27.243","20.254","14.964","8.888","11.026","134.068"
"25","GTLM","Alexander Sims","28","1:28.524","40:09.839","Green","Track","1.695","0.487","4.112","27.038","20.187","15.087","8.890","11.028","136.270"
"67","GTLM","Ryan Briscoe","28","1:27.940","40:10.099","Green","Track","1.712","0.493","4.036","26.841","19.967","15.056","8.914","10.921","134.612"
"912","GTLM","Laurens Vanthoor","28","1:28.011","40:10.444","Green","Track","1.701","0.493","4.048","26.893","20.036","15.026","8.872","10.942","134.612"
"3","GTLM","Jan Magnussen","28","1:26.233","40:12.104","Green","Track","1.705","0.493","3.977","26.206","19.721","14.566","8.629","10.936","134.612"
"24","GTLM","John Edwards","28","1:25.856","40:13.609","Green","Track","1.696","0.489","3.940","26.217","19.624","14.403","8.659","10.828","135.713"
"10","P","Ricky Taylor","30","1:21.029","40:18.674","Green","Track","1.591","0.461","3.720","24.432","18.030","14.349","8.190","10.256","143.956"
"33","GTD","Ben Keating","27","1:29.480","40:28.076","Green","Track","1.762","0.509","4.040","27.185","20.557","15.288","9.012","11.127","130.380"
"54","GTD","Jonathan Bennett","27","1:29.558","40:28.945","Green","Track","1.757","0.507","4.095","27.207","20.672","15.104","9.102","11.114","130.895"
"80","GTD","Dan Knox","26","1:31.920","40:32.499","Green","Track","1.797","0.514","4.198","27.930","21.011","15.873","9.230","11.367","129.112"
"16","GTD","Jeroen Mul","27","1:25.886","40:35.858","Green","Track","1.769","0.510","3.975","26.043","19.828","14.379","8.492","10.890","130.125"
"90","P","Marc Goossens","30","1:21.552","40:36.180","Green","Track","1.576","0.456","3.624","24.896","18.741","13.938","7.954","10.367","145.534"
"48","GTD","Madison Snow","27","1:27.812","40:40.152","Green","Track","1.773","0.510","3.976","26.357","20.817","14.593","8.787","10.999","130.125"
"57","GTD","Andrew Davis","27","1:26.801","40:48.644","Green","Track","1.762","0.509","3.986","26.259","20.016","14.695","8.658","10.916","130.380"
"4","GTLM","Oliver Gavin","28","2:06.751","40:59.116","Green","Pit","1.715","0.495","4.004","26.422","20.133","15.064","10.209","48.709","134.068"
"75","GTD","Kenny Habul","27","1:33.235","41:03.696","Green","Track","1.787","0.514","3.935","29.228","20.642","16.929","9.016","11.184","129.112"
"85","P","Misha Goikhberg","30","1:22.377","41:07.937","Green","Track","1.556","0.450","3.776","25.309","18.679","13.916","8.201","10.490","147.475"
"2","P","Scott Sharp","30","1:22.833","41:11.771","Green","Track","1.576","0.455","3.758","24.940","18.326","14.744","8.452","10.582","145.854"
"28","GTD","Daniel Morad","28","1:29.583","41:12.946","Green","Track","1.741","0.503","4.056","26.908","20.653","15.369","9.183","11.170","131.936"
"22","P","Johannes van Overbeek","30","1:23.677","41:16.748","Green","Track","1.558","0.450","3.774","25.589","19.160","14.497","8.113","10.536","147.475"
"14","GTD","Sage Karam","28","1:30.419","41:20.545","Green","Track","1.758","0.507","4.051","27.279","20.700","15.413","9.211","11.500","130.895"
"62","GTLM","Toni Vilander","29","1:28.911","41:20.522","Green","Track","1.708","0.496","4.017","26.737","20.299","15.122","8.791","11.741","133.798"
"73","GTD","Patrick Lindsey","28","1:30.223","41:20.750","Green","Track","1.736","0.500","4.032","27.526","20.574","15.656","9.089","11.110","132.727"
"5","P","Joao Barbosa","30","1:22.389","41:25.628","Green","Track","1.597","0.462","3.820","24.441","18.845","14.526","8.317","10.381","143.644"
"86","GTD","Oswaldo Negri Jr.","28","1:29.474","41:26.479","Green","Track","1.749","0.504","4.011","27.446","20.387","15.084","9.023","11.270","131.674"
"96","GTD","Jens Klingmann","28","1:29.563","41:27.370","Green","Track","1.774","0.512","4.063","27.147","20.532","15.050","9.169","11.316","129.616"
