"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"32","P","Hugo de Sadeleer","5","1:40.173","9:00.088","Green","Track","10.505","22.158","19.771","7.091","5.832","5.430","9.442","6.428","5.691","4.698","0.422","2.705","193.882"
"78","P","Ho-Pin Tung","4","2:01.569","9:00.456","Green","Pit","12.114","25.175","21.108","7.188","5.933","5.544","10.316","6.633","5.766","7.929","0.000","0.000","0.000"
"96","GTD","Don Yount","4","1:51.491","9:00.952","Green","Track","12.227","24.940","21.896","7.798","6.379","5.981","10.372","7.072","6.209","5.172","0.467","2.978","175.200"
"11","GTD","Mirko Bortolotti","4","1:56.266","9:01.879","Green","Track","13.756","25.797","21.386","7.876","6.393","8.466","10.834","7.071","6.199","5.110","0.458","2.920","178.642"
"22","P","Johannes van Overbeek","5","1:38.757","9:02.616","Green","Track","10.627","22.141","19.109","6.929","5.780","5.352","9.097","6.329","5.611","4.670","0.420","2.692","194.805"
"19","GTD","Christian Engelhart","4","1:48.471","9:04.453","Green","Track","11.419","24.302","21.152","7.777","6.377","5.831","9.911","7.050","6.191","5.094","0.456","2.911","179.426"
"3","GTLM","Mike Rockenfeller","3","1:45.582","9:09.347","Green","Track","0.000","0.000","19.740","7.658","6.379","5.885","9.370","6.920","6.173","5.131","0.462","2.957","177.096"
"5","P","Filipe Albuquerque","5","1:43.579","9:12.544","Green","Track","0.000","0.000","19.184","6.999","5.807","5.627","9.958","6.379","5.688","4.717","0.426","2.717","192.061"
"4","GTLM","Oliver Gavin","3","1:46.666","9:13.702","Green","Track","0.000","0.000","19.532","7.708","6.407","5.889","9.757","7.021","6.225","5.145","0.464","2.952","176.332"
"99","P","Stephen Simpson","4","1:42.409","9:14.436","Green","Track","0.000","0.000","20.463","7.109","5.888","5.462","9.289","6.401","5.646","4.698","0.423","2.714","193.424"
"93","GTD","Lawson Aschenbach","4","1:49.271","9:14.513","Green","Track","0.000","0.000","20.843","7.879","6.459","5.949","10.531","7.074","6.232","5.168","0.469","2.956","174.452"
"58","GTD","Christina Nielsen","3","1:54.916","9:16.610","Green","Track","12.303","26.045","21.643","7.881","6.972","6.793","11.070","7.224","6.307","5.217","0.470","2.991","174.081"
"7","P","Graham Rahal","2","5:42.276","9:17.043","Green","Track","0.000","0.000","22.776","7.117","5.828","5.490","9.730","6.431","5.680","4.731","0.426","2.713","192.061"
"10","P","Jordan Taylor","5","1:39.775","9:17.824","Green","Track","0.000","0.000","19.746","7.154","5.790","5.667","9.618","6.408","5.690","4.694","0.423","2.701","193.424"
"20","P","Alex Popow","4","1:45.999","9:18.108","Green","Track","0.000","0.000","22.355","7.280","5.902","5.518","9.801","6.534","5.771","4.801","0.430","2.746","190.275"
"911","GTLM","Patrick Pilet","5","1:45.553","9:20.903","Green","Track","0.000","0.000","20.118","7.702","6.310","5.883","9.976","6.903","6.128","5.058","0.458","2.931","178.642"
"2","P","Scott Sharp","4","1:41.922","9:21.332","Green","Track","0.000","0.000","19.661","7.032","5.809","5.452","10.122","6.503","5.678","4.729","0.427","2.734","191.612"
"25","GTLM","Philipp Eng","3","1:55.609","9:21.507","Green","Track","0.000","0.000","22.156","7.755","6.450","6.998","10.524","7.162","6.355","5.277","0.473","3.132","172.977"
"23","P","Phil Hanson","4","1:40.371","9:24.111","Green","Track","0.000","0.000","19.722","7.049","5.853","5.547","9.172","6.488","5.693","4.751","0.427","2.729","191.612"
"912","GTLM","Gianmaria Bruni","5","1:44.119","9:25.156","Green","Track","0.000","0.000","19.567","7.682","6.344","5.816","9.226","6.935","6.103","5.025","0.453","2.891","180.614"
"59","GTD","Matteo Cairoli","5","1:48.116","9:27.839","Green","Track","0.000","0.000","20.410","7.773","6.346","5.804","10.004","7.073","6.168","5.127","0.461","2.952","177.480"
"29","GTD","Christopher Mies","5","1:47.708","9:38.016","Green","Track","0.000","0.000","20.392","7.871","6.448","5.900","9.890","7.113","6.273","5.189","0.466","2.959","175.575"
"71","GTD","Kenton Koch","3","3:00.012","9:38.481","Green","Pit","0.000","0.000","23.855","8.038","6.535","6.570","11.270","7.290","6.341","9.821","0.000","0.000","0.000"
"24","GTLM","Augusto Farfus","4","1:53.624","9:39.279","Green","Track","0.000","0.000","21.235","7.739","6.416","8.053","10.667","7.031","6.201","5.173","0.466","2.963","175.575"
"37","P","Lance Stroll","5","1:37.514","9:42.175","Green","Track","10.266","21.635","18.869","7.091","5.908","5.448","8.333","6.330","5.709","4.760","0.429","2.736","190.718"
"86","GTD","AJ Allmendinger","3","3:11.990","9:47.064","Green","Pit","29.779","32.766","24.232","8.117","6.545","6.224","11.151","7.262","6.334","9.965","0.000","0.000","0.000"
"38","P","Kyle Masson","5","1:40.568","9:53.144","Green","Track","11.015","22.745","19.637","7.057","5.860","5.430","8.831","6.380","5.683","4.755","0.429","2.746","190.718"
"52","P","Gustavo Yacaman","5","1:41.556","9:56.333","Green","Track","10.835","22.639","19.593","7.070","5.905","5.515","9.855","6.487","5.706","4.766","0.430","2.755","190.275"
"44","GTD","John Potter","5","1:49.516","9:58.399","Green","Track","11.395","24.582","20.794","7.975","6.493","5.930","10.162","7.262","6.308","5.179","0.465","2.971","175.953"
"73","GTD","Norbert Siedler","4","1:49.055","9:59.365","Green","Track","11.615","24.296","20.746","7.775","6.431","5.941","10.198","7.168","6.257","5.177","0.467","2.984","175.200"
"85","P","Robert Alon","4","1:39.344","10:04.522","Green","Track","10.432","22.283","19.316","7.080","5.857","5.433","9.026","6.389","5.674","4.718","0.425","2.711","192.513"
"48","GTD","Andrea Caldarelli","4","3:03.238","10:04.699","Green","Track","82.883","26.768","20.996","7.876","6.459","5.960","10.331","7.146","6.248","5.151","0.463","2.957","176.713"
"6","P","Dane Cameron","2","2:04.993","10:20.909","Green","Track","28.906","27.531","20.594","7.095","5.838","5.474","9.692","6.420","5.627","4.682","0.424","2.710","192.967"
"62","GTLM","Toni Vilander","5","1:59.543","10:31.710","Green","Pit","11.025","23.906","19.754","7.699","6.341","5.855","9.508","6.957","6.136","8.837","0.000","0.000","0.000"
"33","GTD","Jeroen Bleekemolen","5","2:01.715","10:33.186","Green","Pit","11.296","23.939","20.875","7.786","6.399","5.897","10.006","7.128","6.243","8.589","0.000","0.000","0.000"
"64","GTD","Frank Montecalvo","4","1:49.210","10:37.282","Green","Track","11.711","24.469","20.888","7.855","6.423","5.905","10.059","7.095","6.224","5.158","0.464","2.959","176.332"
"75","GTD","Maro Engel","5","2:01.697","10:37.518","Green","Pit","11.431","24.264","20.764","7.793","6.431","5.946","10.154","7.091","6.251","8.049","0.000","0.000","0.000"
"69","GTD","Sean Rayhall","4","1:49.491","10:38.034","Green","Track","11.998","24.413","20.828","7.833","6.431","5.910","10.088","7.133","6.256","5.176","0.469","2.956","174.452"
