"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"64","GTD","Bill Sweedler","24","1:50.577","53:40.938","Green","Track","11.732","24.556","20.966","7.838","6.411","5.997","10.796","7.221","6.300","5.242","0.476","3.042","171.887"
"77","P","Oliver Jarvis","24","2:48.428","53:41.981","Green","Track","78.502","23.633","19.241","6.988","5.798","5.388","9.099","6.312","5.628","4.717","0.425","2.697","192.513"
"48","GTD","Bryce Miller","25","1:48.787","53:41.891","Green","Track","11.559","24.205","21.033","7.785","6.332","5.852","10.313","7.051","6.197","5.103","0.457","2.900","179.033"
"11","GTD","Rik Breukers","26","1:49.803","53:45.781","Green","Track","11.552","24.773","21.749","7.832","6.342","5.772","10.183","7.028","6.149","5.067","0.454","2.902","180.216"
"911","GTLM","Frederic Makowiecki","21","1:45.214","53:48.424","Green","Track","10.827","23.335","19.590","7.674","6.346","5.941","9.995","6.969","6.120","5.051","0.454","2.912","180.216"
"51","GTD","Mathias Lauda","25","1:49.714","53:48.607","Green","Track","12.044","24.659","20.985","7.742","6.349","5.880","10.188","7.056","6.193","5.183","0.466","2.969","175.575"
"59","GTD","Matteo Cairoli","27","3:16.843","53:52.334","Green","Track","99.448","24.527","20.771","7.853","6.447","5.905","9.999","7.066","6.242","5.160","0.463","2.962","176.713"
"912","GTLM","Laurens Vanthoor","17","6:56.384","54:07.191","Green","Track","319.057","25.535","20.276","7.655","6.340","5.916","9.847","7.010","6.171","5.144","0.462","2.971","177.096"
"19","GTD","Ezequiel Perez Companc","23","1:48.156","54:09.954","Green","Track","11.428","24.088","20.643","7.792","6.346","5.847","10.342","7.024","6.182","5.085","0.456","2.923","179.426"
"96","GTD","Mark Kvamme","24","1:52.143","54:11.254","Green","Track","11.790","25.122","21.475","7.873","6.455","6.046","11.123","7.217","6.297","5.248","0.474","3.023","172.612"
"3","GTLM","Mike Rockenfeller","20","1:45.151","54:14.679","Green","Track","11.072","23.360","19.659","7.665","6.367","5.890","9.487","6.931","6.165","5.125","0.464","2.966","176.332"
"44","GTD","Andrew Davis","26","2:38.511","54:22.436","Green","Track","58.323","26.130","21.396","7.956","6.448","5.912","10.349","7.195","6.256","5.141","0.463","2.942","176.713"
"85","P","Devlin DeFrancesco","25","1:38.928","54:22.590","Green","Track","10.356","22.160","19.330","7.004","5.841","5.410","8.940","6.325","5.677","4.719","0.427","2.739","191.612"
"71","GTD","Loris Spinelli","25","1:48.148","54:26.272","Green","Track","11.289","23.916","20.472","7.857","6.457","5.983","9.937","7.202","6.324","5.238","0.473","3.000","172.977"
"52","P","Nicholas Boulle","24","2:03.752","54:26.943","Green","Track","28.242","26.427","20.232","7.136","5.858","5.574","10.019","6.493","5.772","4.797","0.433","2.769","188.957"
"38","P","Kyle Masson","23","1:39.240","54:30.516","Green","Track","10.391","22.400","19.589","6.984","5.831","5.436","8.745","6.285","5.655","4.751","0.430","2.743","190.275"
"78","P","Ferdinand Habsburg-Lothringen","31","1:38.301","54:35.625","Green","Track","10.237","21.950","19.401","7.004","5.817","5.413","8.642","6.287","5.658","4.723","0.427","2.742","191.612"
"55","P","Jonathan Bomarito","22","1:38.292","54:36.511","Green","Track","10.408","21.958","19.053","6.966","5.824","5.445","8.674","6.301","5.679","4.776","0.432","2.776","189.394"
"63","GTD","Gunnar Jeannette","27","4:00.962","54:36.590","Green","Pit","11.520","24.181","20.801","7.817","6.441","5.965","9.862","7.086","6.255","9.044","0.000","0.000","0.000"
"37","P","Daniel Juncadella","30","1:38.257","54:37.446","Green","Track","10.202","22.011","19.273","7.050","5.851","5.411","8.518","6.332","5.681","4.753","0.429","2.746","190.718"
"99","P","Chris Miller","18","1:58.158","54:49.459","Green","Track","26.952","23.298","20.374","7.077","5.870","5.472","9.015","6.400","5.716","4.784","0.432","2.768","189.394"
"2","P","Ryan Dalziel","22","1:38.903","54:54.777","Green","Track","10.434","21.916","19.031","6.955","5.813","5.427","9.312","6.401","5.731","4.722","0.427","0.000","191.612"
"69","GTD","Chad Gilsinger","24","1:50.690","54:54.979","Green","Track","11.658","24.870","21.535","7.761","6.400","5.960","10.553","7.089","6.230","5.173","0.466","2.995","175.575"
"58","GTD","Mathieu Jaminet","23","1:48.183","54:56.001","Green","Track","11.563","24.069","20.698","7.741","6.392","5.918","9.901","7.047","6.217","5.189","0.468","2.980","174.825"
"54","P","Loic Duval","26","1:44.167","55:02.094","Green","Track","10.494","22.584","19.250","7.061","5.837","5.814","12.928","6.509","5.721","4.773","0.431","2.765","189.833"
"75","GTD","Mikael Grenier","20","1:50.654","55:06.599","Green","Track","11.634","25.064","21.130","7.896","6.491","6.003","10.235","7.150","6.317","5.246","0.473","3.015","172.977"
"31","P","Eric Curran","24","1:57.077","55:16.093","Green","Track","26.824","23.645","19.398","7.011","5.848","5.505","8.833","6.332","5.706","4.780","0.431","2.764","189.833"
"6","P","Juan Pablo Montoya","29","1:38.403","55:17.619","Green","Track","10.778","21.823","18.899","6.992","5.823","5.409","8.789","6.325","5.663","4.745","0.428","2.729","191.164"
"32","P","Hugo de Sadeleer","27","1:40.268","55:19.823","Green","Track","10.910","22.601","19.341","7.068","5.853","5.427","9.043","6.392","5.693","4.769","0.429","2.742","190.718"
"7","P","Helio Castroneves","30","1:39.668","55:20.076","Green","Track","10.495","22.650","19.222","7.059","5.822","5.380","9.089","6.395","5.673","4.733","0.425","2.725","192.513"
"77","P","Oliver Jarvis","25","1:41.020","55:23.001","Green","Track","11.296","22.908","19.664","6.986","5.821","5.539","8.871","6.295","5.664","4.784","0.428","2.764","191.164"
"62","GTLM","Alessandro Pier Guidi","21","1:58.983","55:25.909","Green","Pit","11.010","23.530","19.881","7.734","6.414","5.917","9.216","6.981","6.220","8.502","0.000","0.000","0.000"
"4","GTLM","Marcel Fassler","23","1:45.423","55:26.233","Green","Track","11.131","23.445","19.823","7.665","6.368","5.863","9.370","6.956","6.199","5.157","0.466","2.980","175.575"
"64","GTD","Bill Sweedler","25","1:50.567","55:31.505","Green","Track","12.079","24.905","20.881","7.866","6.448","5.961","10.290","7.133","6.290","5.225","0.475","3.014","172.249"
"48","GTD","Bryce Miller","26","1:49.527","55:31.418","Green","Track","11.818","24.671","20.950","7.782","6.318","6.008","10.329","7.045","6.159","5.058","0.458","2.931","178.642"
"911","GTLM","Frederic Makowiecki","22","1:44.818","55:33.242","Green","Track","10.805","23.330","20.022","7.671","6.314","5.804","9.353","6.951","6.150","5.050","0.454","2.914","180.216"
